Id,HospitalName,Speciality,Review
1,SRI HOMEO CLINIC,Sidha,"Good treatment and patient care."
2,Sakthi Siddha Hospital,Urology,"Best hospital for kidney stone treatment.I got treated here for my 12 mm stone and got cured in just 7 days."
3,Kukreja Hospital & Heart Centre,Cardiology,"Since this hospital is near to my house, I took my brother here for constant back pain. The doctor explained the problem with good detail and suggested proper treatment"
4,C.K. Birla Hospital for Women Review,Gynaecology,"The delivery of my baby was full of complications but it was handled extremely well by the doctors at CK Birla hospital for women. Kudos to the neonatology."
5,Max Hospital,General,"Best service and amicable staff."
6,Vikram Hospital Bangalore ,Oncology,"My Grandmother is suffering from severe Osteoporosis due to steroids treatment for ILD (lung disease).we admitted her here and they gave proper treatment and now she is doing much better."
7,Revive Advanced Hair Transplant & Cosmetic Surgery Center Review,Dermatology,"Visit for all your Cosmetic Surgery Need....,"
8,Suretech Hospital & Research Centre Review,General,"Dear administration , please increase your pharmacy capacity, I face trouble of getting medicine from your pharmacy and I others are also begging to pharmacy..."
9,Dr. Adim's Centre for Rheumatology and Pain Management Review,Rheumatology,"Treatment is good ...,"
10,"Columbia Asia Hospital, Sarjapur Road Review",General,"I had been to get a CT scan done for my mom, one of the staff said the report would be available in the evening. I went in the evening to collect the report,and they kept delaying for 2 days.Hated their service..."
11,"Kolors Health Care India Pvt. Ltd, Sadashiv Nagar Review",Weightloss,"I like services and treatments given at kolars sadashivnagar, thank you for cooperation ...",
12,Kukreja Hospital & Heart Centre Review,Cardiology,"Everything is good and fine emergency services available 24 hours...,"
13,C.K. Birla Hospital for Women Review,Gynaecology,"I recently visited CK Birla Hospital for women for my skin problems. I have started my treatment and I’m already feeling positive results....,"
14,C.K. Birla Hospital for Women Review,Gynaecology,"Best Hospital,"
15,Atharva Hospital & Research Centre Review,General,"Very small and conjusted
No coordinations between doctors and staffs
Messy Unclean Unhygienic
..."
16,Aayugs Multi Specialty Hospital Review,General,"Okay let me start with first things.
Went for mother stomach pain may be they analysed and treated her well and for that one star to doctors who treated..."
17,"Vikram Hospital, Bangalore Review",Oncology,"Thank god I came in here and leaving with excellent care and cure. Superb hospital,very good team of doctors and staffs, icu facilty was good and had 24/7..."
18,RJR Hospital Review,Dermatology,"more than one year i affected from scalp psoriasis problem. I take treatment from lot of hospital, but nothing improvement , simply waste of money only...."
19,Varanasi Hospital & Medical Research Centre Review,General,"I am happy to say that I am recovering well from my recent laparoscopic gallbladder surgery, just 10 days back, and I am back to normal life doing almost..."
